TENTATIVE LIST OF INSTITUTES AND INTAKE 2026-27
1. नवीन पाठ्यक्रमों/संस्थाओं की जानकारी, विश्‍वविद्यालय की संबद्धता/ए.एफ़.आर.सी. द्वारा प्राप्त फीस निर्धारण के दस्तावेज उपलब्ध कराने के उपरांत ही प्रदर्शित होगी |
2. प्रवेश क्षमता में वृद्धि की जानकारी, विश्‍वविद्यालय की संबद्धता के दस्तावेज उपलब्ध कराने के उपरांत ही प्रदर्शित होगी |
3. संस्थाएं पॉर्टल पर प्रदर्शित जानकारी का अवलोकन कर जानकारी में किसी भी प्रकार की त्रुटि को विभाग के संज्ञान में लाकर यथा संशोधन करवाना सुनिश्चित करें|
S. No.	College ID	Institute Name	Branch	Intake	10% in BE and BPHARM of Last Year Intake	First year vacancy of 2025	Institute Type	AICTE Code	Remark	AFRC/Govt. Fee Status	University
429	0123	Prashantee Institute of Technology & Science, Ujjain (2008)	Computer Science and Engineering	12	12	 	PRIVATE	1-5725961	 	 	RGPV,BHOPAL
430	0123	Prashantee Institute of Technology & Science, Ujjain (2008)	Electronics and Communication Engineering	3	3	 	PRIVATE	1-5725961	 	 	RGPV,BHOPAL
431	0123	Prashantee Institute of Technology & Science, Ujjain (2008)	Mechanical Engineering	6	6	 	PRIVATE	1-5725961	 	 	RGPV,BHOPAL
432	0124	Prestige Institute of Engineering Management and Research, Indore (2008)	ARTIFICIAL INTELLIGENCE AND DATA SCIENCE	6	6	 	PRIVATE	1-9559201	 	 	RGPV,BHOPAL
433	0124	Prestige Institute of Engineering Management and Research, Indore (2008)	AUTOMATION AND ROBOTICS	6	6	 	PRIVATE	1-9559201	 	 	RGPV,BHOPAL
434	0124	Prestige Institute of Engineering Management and Research, Indore (2008)	CIVIL ENGINEERING WITH COMPUTER APPLICATION	3	3	 	PRIVATE	1-9559201	 	 	RGPV,BHOPAL
435	0124	Prestige Institute of Engineering Management and Research, Indore (2008)	Civil Engineering	3	3	 	Private	1-9559201	 	 	RGPV,BHOPAL
436	0124	Prestige Institute of Engineering Management and Research, Indore (2008)	Computer Science and Engineering	18	18	 	PRIVATE	1-9559201	 	 	RGPV,BHOPAL
437	0124	Prestige Institute of Engineering Management and Research, Indore (2008)	COMPUTER SCIENCE AND ENGINEERING(INTERNET OF THINGS AND CYBER SECURITY INCLUDING BLOCK CHAIN TECHNOLOGY)	6	6	 	PRIVATE	1-9559201	 	 	RGPV,BHOPAL
438	0124	Prestige Institute of Engineering Management and Research, Indore (2008)	ELECTRICAL AND POWER ENGINEERING	3	3	 	PRIVATE	1-9559201	 	 	RGPV,BHOPAL
439	0124	Prestige Institute of Engineering Management and Research, Indore (2008)	Electronics and Communication Engineering	6	6	 	PRIVATE	1-9559201	 	 	RGPV,BHOPAL
440	0124	Prestige Institute of Engineering Management and Research, Indore (2008)	Electrical Engineering	3	3	 	PRIVATE	1-9559201	 	 	RGPV,BHOPAL
441	0124	Prestige Institute of Engineering Management and Research, Indore (2008)	LOGISTICS	3	3	 	PRIVATE	1-9559201	 	 	RGPV,BHOPAL
442	0124	Prestige Institute of Engineering Management and Research, Indore (2008)	Mechanical Engineering	3	3	 	PRIVATE	1-9559201	 	 	RGPV,BHOPAL
443	0199	PRESTIGE INSTITUTE OF MANAGEMENT AND RESEARCH, BHOPAL	Civil Engineering	6	6	 	Private	1-9093771	 	 	RGPV,BHOPAL
444	0199	PRESTIGE INSTITUTE OF MANAGEMENT AND RESEARCH, BHOPAL	Computer Science and Engineering	18	18	 	PRIVATE	1-9093771	 	 	RGPV,BHOPAL
445	0199	PRESTIGE INSTITUTE OF MANAGEMENT AND RESEARCH, BHOPAL	COMPUTER SCIENCE AND ENGINEERING(DATA SCIENCE)	6	6	 	PRIVATE	1-9093771	 	 	RGPV,BHOPAL
446	0199	PRESTIGE INSTITUTE OF MANAGEMENT AND RESEARCH, BHOPAL	COMPUTER SCIENCE AND ENGINEERING(ARTIFICIAL INTELLIGENCE AND MACHINE LEARNING)	6	6	 	PRIVATE	1-9093771	 	 	RGPV,BHOPAL
447	0199	PRESTIGE INSTITUTE OF MANAGEMENT AND RESEARCH, BHOPAL	Electronics and Communication Engineering	6	6	 	PRIVATE	1-9093771	 	 	RGPV,BHOPAL
448	0199	PRESTIGE INSTITUTE OF MANAGEMENT AND RESEARCH, BHOPAL	Electrical & Electronics Engineering	6	6	 	PRIVATE	1-9093771	 	 	RGPV,BHOPAL
449	0199	PRESTIGE INSTITUTE OF MANAGEMENT AND RESEARCH, BHOPAL	Mechanical Engineering	6	6	 	PRIVATE	1-9093771	 	 	RGPV,BHOPAL
450	0199	PRESTIGE INSTITUTE OF MANAGEMENT AND RESEARCH, BHOPAL	MECHATRONICS ENGINEERING	6	6	 	PRIVATE	1-9093771	 	 	RGPV,BHOPAL
451	1004	PT. DEVPRABHAKAR SHASTRI COLLEGE OF TECHNOLOGY, Chhatarpur (2010)	Civil Engineering	4	4	 	Private	1-13845051	 	 	RGPV,BHOPAL
452	1004	PT. DEVPRABHAKAR SHASTRI COLLEGE OF TECHNOLOGY, Chhatarpur (2010)	Computer Science and Engineering	4	4	 	PRIVATE	1-13845051	 	 	RGPV,BHOPAL
453	1004	PT. DEVPRABHAKAR SHASTRI COLLEGE OF TECHNOLOGY, Chhatarpur (2010)	Electronics and Communication Engineering	3	3	 	PRIVATE	1-13845051	 	 	RGPV,BHOPAL
454	1004	PT. DEVPRABHAKAR SHASTRI COLLEGE OF TECHNOLOGY, Chhatarpur (2010)	Electrical Engineering	3	3	 	PRIVATE	1-13845051	 	 	RGPV,BHOPAL
455	1004	PT. DEVPRABHAKAR SHASTRI COLLEGE OF TECHNOLOGY, Chhatarpur (2010)	Information Technology	4	4	 	PRIVATE	1-13845051	 	 	RGPV,BHOPAL
456	1004	PT. DEVPRABHAKAR SHASTRI COLLEGE OF TECHNOLOGY, Chhatarpur (2010)	Mechanical Engineering	4	4	 	PRIVATE	1-13845051	 	 	RGPV,BHOPAL
457	0127	Radha Raman Institute of Technology, & Science, Bhopal (2003)	Civil Engineering	6	6	 	private	1-2615181	 	 	RGPV,BHOPAL
458	0127	Radha Raman Institute of Technology, & Science, Bhopal (2003)	Computer Science and Engineering	18	18	 	PRIVATE	1-2615181	 	 	RGPV,BHOPAL
459	0127	Radha Raman Institute of Technology, & Science, Bhopal (2003)	Electronics and Communication Engineering	3	3	 	PRIVATE	1-2615181	 	 	RGPV,BHOPAL
460	0127	Radha Raman Institute of Technology, & Science, Bhopal (2003)	Electrical & Electronics Engineering	6	6	 	PRIVATE	1-2615181	 	 	RGPV,BHOPAL
461	0127	Radha Raman Institute of Technology, & Science, Bhopal (2003)	Mechanical Engineering	6	6	 	PRIVATE	1-2615181	 	 	RGPV,BHOPAL
462	0128	RADHARAMAN ENGINEERING COLLEGE, BHOPAL (2006)	Civil Engineering	6	6	 	Private	1-10728988	 	 	RGPV,BHOPAL
463	0128	RADHARAMAN ENGINEERING COLLEGE, BHOPAL (2006)	Computer Science and Engineering	12	12	 	PRIVATE	1-10728988	 	 	RGPV,BHOPAL
464	0128	RADHARAMAN ENGINEERING COLLEGE, BHOPAL (2006)	Electrical & Electronics Engineering	3	3	 	PRIVATE	1-10728988	 	 	RGPV,BHOPAL
465	0128	RADHARAMAN ENGINEERING COLLEGE, BHOPAL (2006)	Mechanical Engineering	6	6	 	private	1-10728988	 	 	RGPV,BHOPAL
466	0130	Rajeev Gandhi Prodyogiki Mahavidhyalaya, Bhopal (2006)	Civil Engineering	6	6	 	Private	1-6213193	 	 	RGPV,BHOPAL
467	0130	Rajeev Gandhi Prodyogiki Mahavidhyalaya, Bhopal (2006)	Computer Science and Engineering	3	3	 	Private	1-6213193	 	 	RGPV,BHOPAL
468	0130	Rajeev Gandhi Prodyogiki Mahavidhyalaya, Bhopal (2006)	Electronics and Communication Engineering	6	6	 	Private	1-6213193	 	 	RGPV,BHOPAL
469	0130	Rajeev Gandhi Prodyogiki Mahavidhyalaya, Bhopal (2006)	Electrical Engineering	3	3	 	private	1-6213193	 	 	RGPV,BHOPAL
470	0130	Rajeev Gandhi Prodyogiki Mahavidhyalaya, Bhopal (2006)	Mechanical Engineering	12	12	 	Private	1-6213193	 	 	RGPV,BHOPAL
471	0133	Rewa Engineering College, Rewa (REC) (1964)	Civil Engineering	6	6	 	Government Autonomous	1-22432791	 	 	RGPV,BHOPAL
472	0133	Rewa Engineering College, Rewa (REC) (1964)	Computer Science and Engineering	6	6	 	Government Autonomous	1-22432791	 	 	RGPV,BHOPAL
473	0133	Rewa Engineering College, Rewa (REC) (1964)	Electronics and Communication Engineering	6	6	 	Government Autonomous	1-22432791	 	 	RGPV,BHOPAL
474	0133	Rewa Engineering College, Rewa (REC) (1964)	Electrical Engineering	6	6	 	Government Autonomous	1-22432791	 	 	RGPV,BHOPAL
475	0133	Rewa Engineering College, Rewa (REC) (1964)	Mechanical Engineering	6	6	 	Government Autonomous	1-22432791	 	 	RGPV,BHOPAL
476	0134	Rewa Institute of Technology, Rewa (2003)	Civil Engineering	6	6	 	Private	1-3913254	 	 	RGPV,BHOPAL
477	0134	Rewa Institute of Technology, Rewa (2003)	Computer Science and Engineering	12	12	 	PRIVATE	1-3913254	 	 	RGPV,BHOPAL
478	0134	Rewa Institute of Technology, Rewa (2003)	Electronics and Communication Engineering	12	12	 	PRIVATE	1-3913254	 	 	RGPV,BHOPAL
479	0134	Rewa Institute of Technology, Rewa (2003)	Electrical Engineering	6	6	 	private	1-3913254	 	 	RGPV,BHOPAL
480	0134	Rewa Institute of Technology, Rewa (2003)	Information Technology	12	12	 	PRIVATE	1-3913254	 	 	RGPV,BHOPAL
481	0134	Rewa Institute of Technology, Rewa (2003)	Mechanical Engineering	12	12	 	PRIVATE	1-3913254	 	 	RGPV,BHOPAL
482	0138	Rustamji Institute of Technology, Tekanpur, Gwalior (1999)	Automobile Engineering	2	2	 	Self Financing (Managed by BSF)	1-467647771	 	 	RGPV,BHOPAL
483	0138	Rustamji Institute of Technology, Tekanpur, Gwalior (1999)	Computer Science and Engineering	9	9	 	Self Financing (Managed by BSF)	1-467647771	 	 	RGPV,BHOPAL
484	0138	Rustamji Institute of Technology, Tekanpur, Gwalior (1999)	COMPUTER SCIENCE AND ENGINEERING(DATA SCIENCE)	3	3	 	Self Financing (Managed by BSF)	1-467647771	 	 	RGPV,BHOPAL
485	0138	Rustamji Institute of Technology, Tekanpur, Gwalior (1999)	COMPUTER SCIENCE AND ENGINEERING(ARTIFICIAL INTELLIGENCE AND MACHINE LEARNING)	4	4	 	Self Financing (Managed by BSF)	1-467647771	 	 	RGPV,BHOPAL
486	0138	Rustamji Institute of Technology, Tekanpur, Gwalior (1999)	Electronics and Communication Engineering	3	3	 	Self Financing (Managed by BSF)	1-467647771	 	 	RGPV,BHOPAL
487	0138	Rustamji Institute of Technology, Tekanpur, Gwalior (1999)	Electrical Engineering	2	2	 	Self Financing (Managed by BSF)	1-467647771	 	 	RGPV,BHOPAL
488	0138	Rustamji Institute of Technology, Tekanpur, Gwalior (1999)	Information Technology	3	3	 	Self Financing (Managed by BSF)	1-467647771	 	 	RGPV,BHOPAL
489	0138	Rustamji Institute of Technology, Tekanpur, Gwalior (1999)	Mechanical Engineering	2	2	 	Self Financing (Managed by BSF)	1-467647771	 	 	RGPV,BHOPAL
490	0150	Sagar Institute of Research & Technology - Excellence, Bhopal (2008)	ARTIFICIAL INTELLIGENCE AND DATA SCIENCE	12	12	 	Private	1-4898041	 	 	RGPV,BHOPAL
491	0150	Sagar Institute of Research & Technology - Excellence, Bhopal (2008)	Civil Engineering	3	3	 	Private	1-4898041	 	 	RGPV,BHOPAL
492	0150	Sagar Institute of Research & Technology - Excellence, Bhopal (2008)	Computer Science and Engineering	18	18	 	Private	1-4898041	 	 	RGPV,BHOPAL
493	0150	Sagar Institute of Research & Technology - Excellence, Bhopal (2008)	COMPUTER SCIENCE AND ENGINEERING(INTERNET OF THINGS AND CYBER SECURITY INCLUDING BLOCK CHAIN TECHNOLOGY)	6	6	 	Private	1-4898041	 	 	RGPV,BHOPAL
494	0150	Sagar Institute of Research & Technology - Excellence, Bhopal (2008)	Mechanical Engineering	3	3	 	Private	1-4898041	 	 	RGPV,BHOPAL
495	0152	Sagar Institute of Research & Technology, Bhopal (2003)	ARTIFICIAL INTELLIGENCE AND MACHINE LEARNING	18	18	 	Private	1-4897321	 	 	RGPV,BHOPAL
496	0152	Sagar Institute of Research & Technology, Bhopal (2003)	Civil Engineering	6	6	 	Private	1-4897321	 	 	RGPV,BHOPAL
497	0152	Sagar Institute of Research & Technology, Bhopal (2003)	COMPUTER SCIENCE AND BUSINESS SYSTEM	6	6	 	Private	1-4897321	 	 	RGPV,BHOPAL
498	0152	Sagar Institute of Research & Technology, Bhopal (2003)	Computer Science and Engineering	30	30	 	PRIVATE	1-4897321	 	 	RGPV,BHOPAL
499	0152	Sagar Institute of Research & Technology, Bhopal (2003)	COMPUTER SCIENCE AND ENGINEERING(CYBER SECURITY)	12	12	 	Private	1-4897321	 	 	RGPV,BHOPAL
500	0152	Sagar Institute of Research & Technology, Bhopal (2003)	Computer Science and Information Technology	24	24	 	Private	1-4897321	 	 	RGPV,BHOPAL
501	0152	Sagar Institute of Research & Technology, Bhopal (2003)	Electronics and Communication Engineering	6	6	 	PRIVATE	1-4897321	 	 	RGPV,BHOPAL
502	0152	Sagar Institute of Research & Technology, Bhopal (2003)	Electrical & Electronics Engineering	6	6	 	PRIVATE	1-4897321	 	 	RGPV,BHOPAL
503	0152	Sagar Institute of Research & Technology, Bhopal (2003)	Mechanical Engineering	6	6	 	PRIVATE	1-4897321	 	 	RGPV,BHOPAL
504	0154	Sagar Institute of Science & Technology (SISTEC) Bhopal	Civil Engineering	6	6	 	PRIVATE	1-2600510	 	 	RGPV,BHOPAL
505	0154	Sagar Institute of Science & Technology (SISTEC) Bhopal	Computer Science and Engineering	24	24	 	PRIVATE	1-2600510	 	 	RGPV,BHOPAL
506	0154	Sagar Institute of Science & Technology (SISTEC) Bhopal	COMPUTER SCIENCE AND ENGINEERING (ARTIFICIAL INTELLIGENCE AND DATA SCIENCE)	12	12	 	PRIVATE	1-2600510	 	 	RGPV,BHOPAL
507	0154	Sagar Institute of Science & Technology (SISTEC) Bhopal	COMPUTER SCIENCE AND ENGINEERING(CYBER SECURITY)	6	6	 	PRIVATE	1-2600510	 	 	RGPV,BHOPAL
508	0154	Sagar Institute of Science & Technology (SISTEC) Bhopal	Computer Science and Information Technology	6	6	 	PRIVATE	1-2600510	 	 	RGPV,BHOPAL
509	0154	Sagar Institute of Science & Technology (SISTEC) Bhopal	Electronics and Communication Engineering	6	6	 	PRIVATE	1-2600510	 	 	RGPV,BHOPAL
510	0154	Sagar Institute of Science & Technology (SISTEC) Bhopal	Electrical & Electronics Engineering	3	3	 	PRIVATE	1-2600510	 	 	RGPV,BHOPAL
511	0154	Sagar Institute of Science & Technology (SISTEC) Bhopal	Mechanical Engineering	6	6	 	PRIVATE	1-2600510	 	 	RGPV,BHOPAL
512	0153	Sagar Institute of Science Technology & Research, (SISTec-R), Bhopal (2009)	Civil Engineering	6	6	 	Private	1-2608694	 	 	RGPV,BHOPAL
513	0153	Sagar Institute of Science Technology & Research, (SISTec-R), Bhopal (2009)	Computer Science and Engineering	24	24	 	PRIVATE	1-2608694	 	 	RGPV,BHOPAL
514	0153	Sagar Institute of Science Technology & Research, (SISTec-R), Bhopal (2009)	COMPUTER SCIENCE AND ENGINEERING(ARTIFICIAL INTELLIGENCE AND MACHINE LEARNING)	12	12	 	Private	1-2608694	 	 	RGPV,BHOPAL
515	0153	Sagar Institute of Science Technology & Research, (SISTec-R), Bhopal (2009)	Electronics and Communication Engineering	6	6	 	PRIVATE	1-2608694	 	 	RGPV,BHOPAL
516	0153	Sagar Institute of Science Technology & Research, (SISTec-R), Bhopal (2009)	Mechanical Engineering	6	6	 	PRIVATE	1-2608694	 	 	RGPV,BHOPAL
517	0155	Sagar Institute of Science, Technology & Engineering(SISTec-E), Bhopal (2009)	Computer Science and Engineering	6	6	 	PRIVATE	1-2739834	 	 	RGPV,BHOPAL
518	0155	Sagar Institute of Science, Technology & Engineering(SISTec-E), Bhopal (2009)	COMPUTER SCIENCE AND ENGINEERING(IOT)	6	6	 	PRIVATE	1-2739834	 	 	RGPV,BHOPAL
519	0155	Sagar Institute of Science, Technology & Engineering(SISTec-E), Bhopal (2009)	Electronics and Communication Engineering	6	6	 	PRIVATE	1-2739834	 	 	RGPV,BHOPAL
520	0155	Sagar Institute of Science, Technology & Engineering(SISTec-E), Bhopal (2009)	Electrical Engineering	6	6	 	PRIVATE	1-2739834	 	 	RGPV,BHOPAL
521	0155	Sagar Institute of Science, Technology & Engineering(SISTec-E), Bhopal (2009)	Mechanical Engineering	6	6	 	PRIVATE	1-2739834	 	 	RGPV,BHOPAL
522	0207	Samrat Ashok Technological Institute, Vidisha (1960)	Civil Engineering	23	6	17	Government Aided	1-3817141	 	 	RGPV,BHOPAL
523	0207	Samrat Ashok Technological Institute, Vidisha (1960)	Computer Science and Engineering	12	12	 	Government Aided	1-3817141	 	 	RGPV,BHOPAL
524	0207	Samrat Ashok Technological Institute, Vidisha (1960)	COMPUTER SCIENCE AND ENGINEERING (ARTIFICIAL INTELLIGENCE AND DATA SCIENCE)	6	6	 	Government Aided	1-3817141	 	 	RGPV,BHOPAL
525	0207	Samrat Ashok Technological Institute, Vidisha (1960)	COMPUTER SCIENCE AND ENGINEERING (BLOCK CHAIN)	6	6	 	Government Aided	1-3817141	 	 	RGPV,BHOPAL
526	0207	Samrat Ashok Technological Institute, Vidisha (1960)	COMPUTER SCIENCE AND ENGINEERING(CYBER SECURITY)	6	6	 	Government Aided	1-3817141	 	 	RGPV,BHOPAL
527	0207	Samrat Ashok Technological Institute, Vidisha (1960)	COMPUTER SCIENCE AND ENGINEERING(ARTIFICIAL INTELLIGENCE AND MACHINE LEARNING)	6	6	 	Government Aided	1-3817141	 	 	RGPV,BHOPAL
528	0207	Samrat Ashok Technological Institute, Vidisha (1960)	COMPUTER SCIENCE AND ENGINEERING(IOT)	6	6	 	Government Aided	1-3817141	 	 	RGPV,BHOPAL
529	0207	Samrat Ashok Technological Institute, Vidisha (1960)	Electronics and Communication Engineering	6	6	 	Government Aided	1-3817141	 	 	RGPV,BHOPAL
530	0207	Samrat Ashok Technological Institute, Vidisha (1960)	Electrical Engineering	36	6	30	Government Aided	1-3817141	 	 	RGPV,BHOPAL
531	0207	Samrat Ashok Technological Institute, Vidisha (1960)	Electronics & Instrumentation	60	6	54	Government Aided	1-3817141	 	 	RGPV,BHOPAL
532	0207	Samrat Ashok Technological Institute, Vidisha (1960)	Information Technology	6	6	 	Government Aided	1-3817141	 	 	RGPV,BHOPAL
533	0207	Samrat Ashok Technological Institute, Vidisha (1960)	Mechanical Engineering	39	6	33	Government Aided	1-3817141	 	 	RGPV,BHOPAL
534	2069	Sant Singaji Engineering College, Dewas	ARTIFICIAL INTELLIGENCE AND MACHINE LEARNING	6	6	 	PRIVATE	1-44758934863	 	 	RGPV,BHOPAL
535	2069	Sant Singaji Engineering College, Dewas	Computer Science and Engineering	6	6	 	PRIVATE	1-44758934863	 	 	RGPV,BHOPAL
536	2069	Sant Singaji Engineering College, Dewas	Information Technology	6	6	 	PRIVATE	1-44758934863	 	 	RGPV,BHOPAL
537	0160	Saraswati Institute of Engineering & Technology, Jabalpur (2008)	AGRICULTURE ENGINEERING	12	12	 	PRIVATE	1-15254047	 	 	RGPV,BHOPAL
538	0160	Saraswati Institute of Engineering & Technology, Jabalpur (2008)	ARTIFICIAL INTELLIGENCE AND DATA SCIENCE	3	3	 	PRIVATE	1-15254047	 	 	RGPV,BHOPAL
539	0160	Saraswati Institute of Engineering & Technology, Jabalpur (2008)	Civil Engineering	3	3	 	Private	1-15254047	 	 	RGPV,BHOPAL
540	0160	Saraswati Institute of Engineering & Technology, Jabalpur (2008)	Computer Science and Engineering	3	3	 	PRIVATE	1-15254047	 	 	RGPV,BHOPAL
541	0160	Saraswati Institute of Engineering & Technology, Jabalpur (2008)	COMPUTER SCIENCE AND ENGINEERING(ARTIFICIAL INTELLIGENCE AND MACHINE LEARNING)	3	3	 	PRIVATE	1-15254047	 	 	RGPV,BHOPAL
542	0160	Saraswati Institute of Engineering & Technology, Jabalpur (2008)	Electrical & Electronics Engineering	3	3	 	PRIVATE	1-15254047	 	 	RGPV,BHOPAL
543	0160	Saraswati Institute of Engineering & Technology, Jabalpur (2008)	Mechanical Engineering	3	3	 	PRIVATE	1-15254047	 	 	RGPV,BHOPAL
544	2063	SATPUDA COLLEGE OF ENGINEERING AND POLYTECHNIC, BALAGHAT	Civil Engineering	6	6	 	PRIVATE	1-3349937361	 	 	RGPV,BHOPAL
545	2063	SATPUDA COLLEGE OF ENGINEERING AND POLYTECHNIC, BALAGHAT	Computer Science and Engineering	18	18	 	PRIVATE	1-3349937361	 	 	RGPV,BHOPAL
546	2063	SATPUDA COLLEGE OF ENGINEERING AND POLYTECHNIC, BALAGHAT	Electrical Engineering	6	6	 	PRIVATE	1-3349937361	 	 	RGPV,BHOPAL
547	2063	SATPUDA COLLEGE OF ENGINEERING AND POLYTECHNIC, BALAGHAT	Mechanical Engineering	6	6	 	PRIVATE	1-3349937361	 	 	RGPV,BHOPAL
548	2063	SATPUDA COLLEGE OF ENGINEERING AND POLYTECHNIC, BALAGHAT	MINING Eng	12	12	 	PRIVATE	1-3349937361	 	 	RGPV,BHOPAL
549	1019	SCHOOL OF ENGINEERING AND TECHNOLOGY, SAMRAT VIKRAMADITYA VISHWAVIDYALAYA, UJJAIN (2011)	AGRICULTURAL ENGINEERING	29	3	26	University Owned	1-513962641	 	 	SAMRAT VIKRAMADITYA VISHWAVIDYALAYA, UJJAIN (2011)
550	1019	SCHOOL OF ENGINEERING AND TECHNOLOGY, SAMRAT VIKRAMADITYA VISHWAVIDYALAYA, UJJAIN (2011)	Civil Engineering	44	5	39	University Owned	1-513962641	 	 	SAMRAT VIKRAMADITYA VISHWAVIDYALAYA, UJJAIN (2011)
551	1019	SCHOOL OF ENGINEERING AND TECHNOLOGY, SAMRAT VIKRAMADITYA VISHWAVIDYALAYA, UJJAIN (2011)	Electronics and Communication Engineering	36	5	31	University Owned	1-513962641	 	 	SAMRAT VIKRAMADITYA VISHWAVIDYALAYA, UJJAIN (2011)
552	1019	SCHOOL OF ENGINEERING AND TECHNOLOGY, SAMRAT VIKRAMADITYA VISHWAVIDYALAYA, UJJAIN (2011)	ELECTRONICS AND COMPUTER SCIENCE	7	5	2	University Owned	1-513962641	 	 	SAMRAT VIKRAMADITYA VISHWAVIDYALAYA, UJJAIN (2011)
553	1019	SCHOOL OF ENGINEERING AND TECHNOLOGY, SAMRAT VIKRAMADITYA VISHWAVIDYALAYA, UJJAIN (2011)	Electrical Engineering	49	5	44	University Owned	1-513962641	 	 	SAMRAT VIKRAMADITYA VISHWAVIDYALAYA, UJJAIN (2011)
554	1019	SCHOOL OF ENGINEERING AND TECHNOLOGY, SAMRAT VIKRAMADITYA VISHWAVIDYALAYA, UJJAIN (2011)	Mechanical Engineering	44	5	39	University Owned	1-513962641	 	 	SAMRAT VIKRAMADITYA VISHWAVIDYALAYA, UJJAIN (2011)
555	2061	SCHOOL OF INFORMATION TECHNOLOGY, RGPV BHOPAL	COMPUTER SCIENCE AND BUSINESS SYSTEM	6	6	 	UNIVERSITY OWNED	1-3681041691	 	 	RGPV,BHOPAL
556	2061	SCHOOL OF INFORMATION TECHNOLOGY, RGPV BHOPAL	COMPUTER SCIENCE AND ENGINEERING(DATA SCIENCE)	6	6	 	UNIVERSITY OWNED	1-3681041691	 	 	RGPV,BHOPAL
557	2061	SCHOOL OF INFORMATION TECHNOLOGY, RGPV BHOPAL	COMPUTER SCIENCE AND ENGINEERING(ARTIFICIAL INTELLIGENCE AND MACHINE LEARNING)	6	6	 	UNIVERSITY OWNED	1-3681041691	 	 	RGPV,BHOPAL
558	0032	SENDHWA INSTITUTE OF PROFESSIONAL STUDIES, BARWANI	Civil Engineering	3	3	 	Private	1-21231951	, VACANT SEATS UNIV. LETTER NOT ATTACHED.	 	RGPV,BHOPAL
559	0032	SENDHWA INSTITUTE OF PROFESSIONAL STUDIES, BARWANI	Computer Science and Engineering	6	6	 	PRIVATE	1-21231951	, VACANT SEATS UNIV. LETTER NOT ATTACHED.	 	RGPV,BHOPAL
560	0032	SENDHWA INSTITUTE OF PROFESSIONAL STUDIES, BARWANI	Electronics and Communication Engineering	2	2	 	PRIVATE	1-21231951	, VACANT SEATS UNIV. LETTER NOT ATTACHED.	 	RGPV,BHOPAL
561	0032	SENDHWA INSTITUTE OF PROFESSIONAL STUDIES, BARWANI	Electrical Engineering	6	6	 	PRIVATE	1-21231951	, VACANT SEATS UNIV. LETTER NOT ATTACHED.	 	RGPV,BHOPAL
562	0032	SENDHWA INSTITUTE OF PROFESSIONAL STUDIES, BARWANI	Fire Tech & Safety	3	3	 	PRIVATE	1-21231951	, VACANT SEATS UNIV. LETTER NOT ATTACHED.	 	RGPV,BHOPAL
563	0032	SENDHWA INSTITUTE OF PROFESSIONAL STUDIES, BARWANI	Mechanical Engineering	3	3	 	PRIVATE	1-21231951	, VACANT SEATS UNIV. LETTER NOT ATTACHED.	 	RGPV,BHOPAL
564	0166	Sha-Shib College of Technology, Bhopal (2009)	Civil Engineering	3	3	 	Private	1-38471831	 	 	RGPV,BHOPAL
565	0166	Sha-Shib College of Technology, Bhopal (2009)	Computer Science and Engineering	6	6	 	PRIVATE	1-38471831	 	 	RGPV,BHOPAL
566	0166	Sha-Shib College of Technology, Bhopal (2009)	Electronics and Communication Engineering	6	6	 	PRIVATE	1-38471831	 	 	RGPV,BHOPAL
567	0166	Sha-Shib College of Technology, Bhopal (2009)	Mechanical Engineering	6	6	 	PRIVATE	1-38471831	 	 	RGPV,BHOPAL
568	0167	Shiv Kumar Singh Institute of Technology & Science, Indore (2007)	Civil Engineering	6	6	 	Private	1-6598721	 	 	RGPV,BHOPAL
569	0167	Shiv Kumar Singh Institute of Technology & Science, Indore (2007)	Computer Science and Engineering	6	6	 	PRIVATE	1-6598721	 	 	RGPV,BHOPAL
570	0167	Shiv Kumar Singh Institute of Technology & Science, Indore (2007)	Electronics and Communication Engineering	3	3	 	PRIVATE	1-6598721	 	 	RGPV,BHOPAL
571	0167	Shiv Kumar Singh Institute of Technology & Science, Indore (2007)	Electrical & Electronics Engineering	3	3	 	PRIVATE	1-6598721	 	 	RGPV,BHOPAL
572	0167	Shiv Kumar Singh Institute of Technology & Science, Indore (2007)	Fire Tech & Safety	6	6	 	PRIVATE	1-6598721	 	 	RGPV,BHOPAL
573	0167	Shiv Kumar Singh Institute of Technology & Science, Indore (2007)	Information Technology	3	3	 	PRIVATE	1-6598721	 	 	RGPV,BHOPAL
574	0167	Shiv Kumar Singh Institute of Technology & Science, Indore (2007)	Mechanical Engineering	6	6	 	PRIVATE	1-6598721	 	 	RGPV,BHOPAL
575	0198	Shivajirao Kadam Institute of Technology and Management-Technical Campus, Indore (2009)	ARTIFICIAL INTELLIGENCE AND MACHINE LEARNING	6	6	 	Private	1-6078286	, VACANT SEATS AGAINST ADMISSION 1ST YEAR AS PER UNIV LETTER 2025-26 NOT ATTACHEDVACANT SEATS AGAINST ADMISSION 1ST YEAR AS PER UNIV LETTER 2025-26 NOT ATTACHED	 	RGPV,BHOPAL
576	0198	Shivajirao Kadam Institute of Technology and Management-Technical Campus, Indore (2009)	Civil Engineering	3	3	 	Private	1-6078286	, VACANT SEATS AGAINST ADMISSION 1ST YEAR AS PER UNIV LETTER 2025-26 NOT ATTACHED	 	RGPV,BHOPAL
