"DIRECTORATEOFTECHNICALEDUCATION,MADHYAPRADESH",,,,,,,,,,,,,,
LATERALENTRYBTECH,,,,,,,,,,,,,,
OPENINGCLOSINGRANK-FIRSTROUND2026,,,,,,,,,,,,,,
BASEDONQUALIFYINGEXAM DATE:06.08.2026,,,,,,,,,,,,,,
S.No.,INST_NAME,,INST_TYPE,FW,,BRANCH,OPENING_RANK,CLOSING_RANK,OPENING_MERIT,CLOSING_MERIT,ALLOTTED_CATEGORY,DOMICILE,TOTAL_ALLOTTED,
53,"BansalCollegeofEngineering,Obedullaganj,Raisen(2002)",,Private,N,,EC,2433,2433,68.1,68.1,UR/X/OP,,1,
54,"BansalCollegeofEngineering,Obedullaganj,Raisen(2002)",,Private,N,,CIVIL,918,2689,75.9,66.6,UR/X/OP,,5,

"*InURcategory,Othercategorycandidatesarealsoallotted",,,Page2 of39,,,,,,,,,,,
"DIRECTORATEOFTECHNICALEDUCATION,MADHYAPRADESH",,,,,,,,,,,,,,
LATERALENTRYBTECH,,,,,,,,,,,,,,
OPENINGCLOSINGRANK-FIRSTROUND2026,,,,,,,,,,,,,,
BASEDONQUALIFYINGEXAM DATE:06.08.2026,,,,,,,,,,,,,,
S.No.,INST_NAME,,INST_TYPE,FW,,BRANCH,OPENING_RANK,CLOSING_RANK,OPENING_MERIT,CLOSING_MERIT,ALLOTTED_CATEGORY,DOMICILE,TOTAL_ALLOTTED,
55,"BansalCollegeofEngineering,Obedullaganj,Raisen(2002)",,Private,N,,CSE,175,3095,83.6,63.5,UR/X/OP,,4,
56,"BansalCollegeofEngineering,Obedullaganj,Raisen(2002)",,Private,N,,CSEIML,1810,3209,71.3,62.3,UR/X/OP,,3,
57,"BansalInstituteofResearch&Technology,Bhopal(2007)",,Private,N,,EC,2809,2809,65.9,65.9,OBC/X/OP,,1,
58,"BansalInstituteofResearch&Technology,Bhopal(2007)",,Private,N,,CSE,1742,3226,71.6,62.1,OBC/X/OP,,6,
59,"BansalInstituteofResearch&Technology,Bhopal(2007)",,Private,N,,MECH,3347,3347,60.4,60.4,OBC/X/OP,,1,
60,"BansalInstituteofResearch&Technology,Bhopal(2007)",,Private,N,,ELECTELEX,3384,3384,59.7,59.7,OBC/X/OP,,1,
61,"BansalInstituteofResearch&Technology,Bhopal(2007)",,Private,N,,CSE,2260,2979,69,64.5,SC/X/OP,,2,
62,"BansalInstituteofResearch&Technology,Bhopal(2007)",,Private,N,,ELECTELEX,3490,3490,54.7,54.7,SC/X/OP,,1,
63,"BansalInstituteofResearch&Technology,Bhopal(2007)",,Private,N,,EC,477,477,79.5,79.5,UR/X/OP,,1,
64,"BansalInstituteofResearch&Technology,Bhopal(2007)",,Private,N,,CSE,649,1709,77.8,71.7,UR/X/OP,,10,
65,"BansalInstituteofResearch&Technology,Bhopal(2007)",,Private,N,,ELECTELEX,2458,2458,67.94,67.94,UR/X/OP,,1,
66,"BansalInstituteofResearch&Technology,Bhopal(2007)",,Private,N,,MECH,2324,2996,68.7,64.34,UR/X/OP,,2,
67,"BansalInstituteofResearch&Technology,Bhopal(2007)",,Private,N,,EC,642,642,77.9,77.9,"UR/X/OP(After
Conversion)",,1,
68,"BansalInstituteofResearchTechnology&Science,Bhopal
(2008)",,Private,N,,CSEIML,1520,2750,72.6,66.2,OBC/X/OP,,2,
69,"BansalInstituteofResearchTechnology&Science,Bhopal
(2008)",,Private,N,,CSEIML,405,1234,80.1,74,UR/X/OP,,3,
70,"BansalInstituteofResearchTechnology&Science,Bhopal
(2008)",,Private,N,,CSE,940,2870,75.7,65.4,UR/X/OP,,6,
71,"BansalInstituteofResearchTechnology&Science,Bhopal
(2008)",,Private,N,,CSEIML,3294,3294,61.13,61.13,"UR/X/OP(After
Conversion)",,1,
72,"BansalInstituteofScience&Technology,Bhopal(2000)",,Private,N,,CSE,2263,2263,69,69,EWS,,1,
73,"BansalInstituteofScience&Technology,Bhopal(2000)",,Private,N,,MECH,1337,2662,73.4,66.8,OBC/X/OP,,2,
74,"BansalInstituteofScience&Technology,Bhopal(2000)",,Private,N,,EC,1702,2714,71.7,66.5,OBC/X/OP,,2,
75,"BansalInstituteofScience&Technology,Bhopal(2000)",,Private,N,,ELECTELEX,3468,3468,56.3,56.3,ST/X/OP,,1,
76,"BansalInstituteofScience&Technology,Bhopal(2000)",,Private,N,,MECH,5,5,92.6,92.6,UR/X/OP,,1,
77,"BansalInstituteofScience&Technology,Bhopal(2000)",,Private,N,,CIVIL,384,455,80.3,79.64,UR/X/OP,,2,
78,"BansalInstituteofScience&Technology,Bhopal(2000)",,Private,N,,EC,1280,1280,73.8,73.8,UR/X/OP,,1,
79,"BansalInstituteofScience&Technology,Bhopal(2000)",,Private,N,,CSE,1821,1821,71.3,71.3,UR/X/OP,,1,
80,"BansalInstituteofScience&Technology,Bhopal(2000)",,Private,N,,CSEIML,1994,1994,70.4,70.4,UR/X/OP,,1,
81,"BansalInstituteofScience&Technology,Bhopal(2000)",,Private,N,,IT,2098,3042,69.83,64,UR/X/OP,,2,
82,"BansalInstituteofScience&Technology,Bhopal(2000)",,Private,N,,ELECTELEX,2386,3407,68.3,59,UR/X/OP,,2,

"*InURcategory,Othercategorycandidatesarealsoallotted",,,Page3 of39,,,,,,,,,,,
"DIRECTORATEOFTECHNICALEDUCATION,MADHYAPRADESH",,,,,,,,,,,,,,
LATERALENTRYBTECH,,,,,,,,,,,,,,
OPENINGCLOSINGRANK-FIRSTROUND2026,,,,,,,,,,,,,,
BASEDONQUALIFYINGEXAM DATE:06.08.2026,,,,,,,,,,,,,,
S.No.,INST_NAME,,INST_TYPE,FW,,BRANCH,OPENING_RANK,CLOSING_RANK,OPENING_MERIT,CLOSING_MERIT,ALLOTTED_CATEGORY,DOMICILE,TOTAL_ALLOTTED,
83,"BansalInstituteofScience&Technology,Bhopal(2000)",,Private,N,,CIVIL,2063,2063,70,70,"UR/X/OP(After
Conversion)",,1,
