72,Bansal Institute of Science & Technology Bhopal (2000),Private,CSE,DIPPPT,2263,2263,UR/X/OP,N,1,2026
73,Bansal Institute of Science & Technology Bhopal (2000),Private,MECH,DIPPPT,1337,2662,OBC/X/OP,Y,2,2026
74,Bansal Institute of Science & Technology Bhopal (2000),Private,EC,DIPPPT,1702,2714,OBC/X/OP,Y,2,2026
75,Bansal Institute of Science & Technology Bhopal (2000),Private,ELECT ELEX,DIPPPT,3468,3468,ST/X/OP,Y,1,2026
76,Bansal Institute of Science & Technology Bhopal (2000),Private,MECH,DIPPPT,5,5,UR/X/OP,N,1,2026
77,Bansal Institute of Science & Technology Bhopal (2000),Private,CIVIL,DIPPPT,384,455,UR/X/OP,N,2,2026
78,Bansal Institute of Science & Technology Bhopal (2000),Private,EC,DIPPPT,1280,1280,UR/X/OP,N,1,2026
79,Bansal Institute of Science & Technology Bhopal (2000),Private,CSE,DIPPPT,1821,1821,UR/X/OP,N,1,2026
80,Bansal Institute of Science & Technology Bhopal (2000),Private,CSEIML,DIPPPT,1994,1994,UR/X/OP,N,1,2026
81,Bansal Institute of Science & Technology Bhopal (2000),Private,IT,DIPPPT,2098,3042,UR/X/OP,N,2,2026
82,Bansal Institute of Science & Technology Bhopal (2000),Private,ELECT ELEX,DIPPPT,2386,3407,UR/X/OP,N,2,2026
83,Bansal Institute of Science & Technology Bhopal (2000),Private,CIVIL,DIPPPT,2063,2063,UR/X/OP,N,1,2026
84,Bethesda Institute of Technology and Science Gwalior (2011),Private,EC,DIPPPT,1609,1609,UR/X/OP,N,1,2026
85,Bethesda Institute of Technology and Science Gwalior (2011),Private,CSE,DIPPPT,302,1657,UR/X/OP,N,2,2026
86,Bethesda Institute of Technology and Science Gwalior (2011),Private,MECH,DIPPPT,157,3416,UR/X/OP,N,16,2026
87,Bethesda Institute of Technology and Science Gwalior (2011),Private,ELECT ELEX,DIPPPT,538,3498,UR/X/OP,N,14,2026
88,Bethesda Institute of Technology and Science Gwalior (2011),Private,CIVIL,DIPPPT,567,3533,UR/X/OP,N,7,2026
89,BHOPAL INSTITUTE OF TECHNOLOGY & SCIENCE BHOPAL (2002),Private,CSE,DIPPPT,789,789,UR/X/OP,N,1,2026
90,BHOPAL INSTITUTE OF TECHNOLOGY & SCIENCE BHOPAL (2002),Private,CIVIL,DIPPPT,1172,2633,UR/X/OP,N,6,2026
91,BHOPAL INSTITUTE OF TECHNOLOGY & SCIENCE BHOPAL (2002),Private,MECH,DIPPPT,2099,3170,UR/X/OP,N,3,2026
92,BHOPAL INSTITUTE OF TECHNOLOGY & SCIENCE BHOPAL (2002),Private,ELECT ELEX,DIPPPT,1414,3422,UR/X/OP,N,9,2026
93,BHOPAL INSTITUTE OF TECHNOLOGY BHOPAL (2007),Private,EC,DIPPPT,515,1736,UR/X/OP,N,3,2026
94,BHOPAL INSTITUTE OF TECHNOLOGY BHOPAL (2007),Private,ELECT ELEX,DIPPPT,566,2114,UR/X/OP,N,9,2026
95,BHOPAL INSTITUTE OF TECHNOLOGY BHOPAL (2007),Private,CSE,DIPPPT,290,3075,UR/X/OP,N,9,2026
96,BHOPAL INSTITUTE OF TECHNOLOGY BHOPAL (2007),Private,MECH,DIPPPT,13,3371,UR/X/OP,N,9,2026
97,Chameli Devi Group of Institutions Indore (2006),Private,MECH,DIPPPT,2366,2366,OBC/X/OP,Y,1,2026
98,Chameli Devi Group of Institutions Indore (2006),Private,CIVIL,DIPPPT,3113,3113,ST/X/OP,Y,1,2026
99,Chameli Devi Group of Institutions Indore (2006),Private,MECH,DIPPPT,2219,2219,UR/X/OP,N,1,2026
100,Chameli Devi Group of Institutions Indore (2006),Private,CSEIML,DIPPPT,1484,2395,UR/X/OP,N,4,2026
101,Chameli Devi Group of Institutions Indore (2006),Private,CIVIL,DIPPPT,875,3004,UR/X/OP,N,2,2026
102,Chameli Devi Group of Institutions Indore (2006),Private,CSE,DIPPPT,1237,3244,UR/X/OP,N,4,2026
103,Chameli Devi Group of Institutions Indore (2006),Private,IT,DIPPPT,3273,3273,UR/X/OP,N,1,2026
104,Corporate Institute of Science & Technology Bhopal (2008),Private,CIVIL,DIPPPT,2517,2517,OBC/X/OP,Y,1,2026
105,Corporate Institute of Science & Technology Bhopal (2008),Private,CSEIML,DIPPPT,909,909,UR/X/OP,N,1,2026
106,Corporate Institute of Science & Technology Bhopal (2008),Private,CIVIL,DIPPPT,9,1604,UR/X/OP,N,20,2026
107,Corporate Institute of Science & Technology Bhopal (2008),Private,EC,DIPPPT,1752,1752,UR/X/OP,N,1,2026
108,Corporate Institute of Science & Technology Bhopal (2008),Private,ELECT ELEX,DIPPPT,191,2642,UR/X/OP,N,8,2026
109,Corporate Institute of Science & Technology Bhopal (2008),Private,MECH,DIPPPT,171,2796,UR/X/OP,N,13,2026
